path,category,layer,owner_area,realism_class,seam_family,allowed_for,not_enough_for,primary_claim
scripts/gate_backlog_pressure.sh,shell-harness,scripted-e2e,scripts,fixture,fake_capture,repeatable streaming/load verification and deterministic runtime regressions,"claims about true capture devices, live permissions, or user-real audio paths",deterministic backlog-pressure gate with retained logs
scripts/gate_d_soak.sh,shell-harness,scripted-e2e,scripts,fixture,fake_capture,repeatable streaming/load verification and deterministic runtime regressions,"claims about true capture devices, live permissions, or user-real audio paths",deterministic gate-D soak scenario with fixture-driven inputs
scripts/gate_packaged_live_smoke.sh,shell-harness,release-script,scripts,packaged-app,fake_capture,repeatable streaming/load verification and deterministic runtime regressions,"claims about true capture devices, live permissions, or user-real audio paths",packaged Recordit.app live smoke and evidence capture
scripts/gate_v1_acceptance.sh,shell-harness,release-script,scripts,packaged-app,fake_capture,repeatable streaming/load verification and deterministic runtime regressions,"claims about true capture devices, live permissions, or user-real audio paths",v1 acceptance harness spanning release/runtime evidence
src/bin/transcribe_live/app.rs,rust-inline-tests,unit,src/bin/transcribe_live,mock,fake_capture,repeatable streaming/load verification and deterministic runtime regressions,"claims about true capture devices, live permissions, or user-real audio paths",app
src/live_capture.rs,rust-inline-tests,unit,src,fixture,fake_capture,repeatable streaming/load verification and deterministic runtime regressions,"claims about true capture devices, live permissions, or user-real audio paths",live capture
tests/bd_1n5v_contract_regression.rs,rust-tests,integration,tests,fixture,fake_capture,repeatable streaming/load verification and deterministic runtime regressions,"claims about true capture devices, live permissions, or user-real audio paths",runtime diagnostics contract regression for bd-1n5v
tests/live_stream_true_live_integration.rs,rust-tests,scripted-e2e,tests,fixture,fake_capture,repeatable streaming/load verification and deterministic runtime regressions,"claims about true capture devices, live permissions, or user-real audio paths",live stream capture/runtime integration with host prerequisites
app/AppShell/app_environment_smoke.swift,swift-smoke,smoke,app/AppShell,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,app environment
app/AppShell/onboarding_completion_smoke.swift,swift-smoke,smoke,app/AppShell,mock,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,onboarding completion
app/AppShell/permission_remediation_smoke.swift,swift-smoke,smoke,app/AppShell,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,permission remediation
app/Exports/export_smoke.swift,swift-smoke,smoke,app/Exports,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,export
app/Exports/session_export_view_model_smoke.swift,swift-smoke,smoke,app/Exports,fixture,fixture,"schema/contract compatibility, deterministic regressions, bounded scripted-e2e checks",live-real device/TCC behavior or certification-style product-journey claims,session export view model
